job_title,mod_ind_index
"Chuyên Viên Xử Lý Nợ Khdn - Hồ Chí Minh, Nha Trang, Bình Dương - Ta108",25
Nhân Viên Kỹ Thuật,25
Auto Tester - Tân Bình,25
Chuyên Viên Phân Tích Nghiệp Vụ,25
Auto Tester Deal Upto $2000 Gross - Tân Bình,25
Nhân Viên Hải Quan (11 - 14 Triệu) - Phúc Lợi Tốt,25
Nhân Viên Kiểm Thử,25
Nhân Viên Cải Tiến,25
Pricing Executive,25
Fresher C/C++ Talent,25
Fresher C/Embedded,25
Fresher C/Embedded (Part-Time),25
AI Engineer (Thu Nhập 1000Usd/Tháng),25
Chuyên Viên Thúc Đẩy Bán Kênh Bancassuarance,25
Quản Trị Dự Án Phần Mềm,25
Nhân Viên Front - End Thu Nhập Lên Đến 25 Triệu,25
Nhân Viên Mua Hàng,25
User Support (Data Maintenance) - French Speaking,25
Nhân Viên Cung Ứng Tàu Biển (Ship'S Supplier Staff) - Quận 4,25
Phó Giám Đốc Dịch Vụ,25
Application Support ??? French Speaking,25
Nhân Viên Kiểm Hàng,25
Nhân Viên Mua Hàng Quốc Tế,25
Senior Data Analyst,25
Nhân Viên Business Intelligence Specialist,25
Golang Teamleader ( Tiếng Anh Giao Tiếp),25
Quản Trị Ứng Dụng,25
Java Techlead,25
Thực Tập Sinh App Designer (UI/ UX),25
Business Development Executive,25
SEO Executive Tại Hồ Chí Minh,25
Data Engineer (Big Data),25
Kỹ Sư Phát Triển Ứng Dụng Mobile,25
Business Analyst (ERP System),25
Chuyên Viên Cao Cấp Nguồn Vốn,25
Data Scientist,25
Nhân Viên Kỹ Thuật Lắp Đặt Định Vị,25
Nhân Viên Triển Khai,25
Nhân Viên Designer,25
Trưởng Bưu Cục Khu Vực Tam Phước - Đồng Nai,25
Chuyên Viên Phát Triển Sản Phẩm,25
Chuyên Viên Phát Triển Sản Phẩm,25
Chuyên Viên Tuyển Dụng,25
Nhân Viên Giao Nhận,25
Nhân Viên Nhập Liệu (Part-Time),25
Data Analyst (Chuyên Viên Phân Tích Dữ Liệu),25
Nhân Viên Bưu Cục,25
Thực Tập Sinh Phát Triển Đối Tác Amazon,25
"Senior Fullstack Engineer (Reactjs, Nodejs)",25
Kỹ Sư Hệ Thống / System Engineer - Vũ Ngọc Phan Đống Đa HN ( Lương Upto 25Tr++ Thưởng),25
Business Analyst,25
System Engineer (Si),25
Nhân Viên R&D - Nghiên Cứu Và Phát Triển Sản Phẩm Tại Hà Nội,25
Kỹ Thuật Viên Lương Từ 18 Triệu,25
Nhân Viên SEO - Đi Làm Ngay,25
Nhân Viên Điều Độ,25
System Admin (Linux),25
